strain,nextstrain_besttree,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_462450,Oman,Australia,Austria,Australia,BosniaandHerzegovina,BosniaandHerzegovina,Netherlands,Australia,Australia,Australia,Australia,UnitedKingdom,UnitedKingdom
EPI_ISL_416516,Austria,Australia,UnitedKingdom,Australia,Brazil,BosniaandHerzegovina,Australia,Australia,Australia,Australia,Australia,UnitedKingdom,Australia
EPI_ISL_457995,Oman,Oman,Oman,Oman,BosniaandHerzegovina,Oman,Uruguay,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_437303,Austria,Oman,Austria,Oman,Austria,Austria,Oman,Oman,Oman,Oman,Oman,Oman,Austria
EPI_ISL_457990,Oman,Oman,Oman,Oman,Austria,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_457961,Uruguay,Uruguay,UnitedKingdom,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
EPI_ISL_457959,Uruguay,Uruguay,NewZealand,Uruguay,Uruguay,Uruguay,UnitedKingdom,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
EPI_ISL_464168,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom
EPI_ISL_414009,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,China,Italy,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_417498,Canada,Canada,USA,USA,Canada,Canada,Canada,USA,USA,Canada,USA,UnitedKingdom,Canada
EPI_ISL_418858,Canada,Canada,USA,USA,Canada,Canada,Canada,USA,USA,Canada,USA,UnitedKingdom,Canada
EPI_ISL_434475,Jordan,Jordan,Greece,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Greece,Jordan,Jordan
EPI_ISL_422685,Jordan,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,NewZealand,Jordan,Jordan
EPI_ISL_430015,Jordan,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_429997,Jordan,Jordan,USA,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_430014,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_450186,Jordan,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_456220,NewZealand,NewZealand,UnitedKingdom,Jordan,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,Japan,NewZealand,UnitedKingdom,NewZealand,NewZealand
EPI_ISL_445351,UnitedKingdom,NewZealand,UnitedKingdom,Greece,UnitedKingdom,Chile,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_464178,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Taiwan,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_414006,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_415128,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom
EPI_ISL_425702,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_456173,UnitedKingdom,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,NewZealand,UnitedKingdom,NewZealand
EPI_ISL_435698,UnitedKingdom,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Jordan,UnitedKingdom,Singapore
EPI_ISL_437906,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_437892,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,Greece
EPI_ISL_434462,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_462422,UnitedKingdom,Greece,UnitedKingdom,Nigeria,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Nigeria,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_437910,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_434516,Greece,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,Jordan,UnitedKingdom,Jordan
EPI_ISL_434466,UnitedKingdom,Greece,Greece,Greece,UnitedKingdom,Greece,UnitedKingdom,Nigeria,Greece,Greece,Greece,Greece,Greece
EPI_ISL_455412,UnitedKingdom,Greece,UnitedKingdom,Nigeria,Nigeria,Nigeria,Greece,Nigeria,Nigeria,Greece,Greece,Nigeria,Nigeria
EPI_ISL_455413,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria,Greece,Nigeria,Nigeria,Nigeria,UnitedKingdom,UnitedKingdom
EPI_ISL_455431,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
EPI_ISL_461968,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,Greece,UnitedKingdom,UnitedKingdom
EPI_ISL_434481,Greece,Greece,UnitedKingdom,Greece,Greece,Greece,UnitedKingdom,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_402128,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_403930,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402123,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402121,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_434534,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_408669,China,China,UnitedArabEmirates,China,China,China,China,China,China,China,China,China,China
EPI_ISL_406798,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402130,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402127,China,China,Australia,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412898,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_457733,China,China,Taiwan,Taiwan,China,China,China,China,China,China,China,China,Taiwan
EPI_ISL_450196,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437618,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_406034,China,Taiwan,China,China,China,China,USA,USA,China,China,USA,USA,USA
EPI_ISL_428489,Malaysia,Taiwan,Taiwan,Taiwan,Japan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_428488,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_455793,China,Malaysia,China,Malaysia,Malaysia,China,China,China,Malaysia,China,China,Malaysia,Malaysia
EPI_ISL_445329,China,Malaysia,China,Malaysia,Malaysia,Chile,USA,Malaysia,Malaysia,Japan,Singapore,Malaysia,Malaysia
EPI_ISL_430441,China,Malaysia,Taiwan,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Singapore,Malaysia,Malaysia
EPI_ISL_438972,Malaysia,Japan,Japan,Malaysia,Japan,China,China,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_420890,China,Japan,Japan,Malaysia,China,Chile,Japan,Japan,Malaysia,Japan,Japan,Japan,Japan
EPI_ISL_437883,Norway,Malaysia,Greece,Sweden,Australia,Greece,Greece,HongKong,Denmark,Japan,Greece,China,China
EPI_ISL_430439,Malaysia,Malaysia,Japan,Malaysia,Japan,China,China,Malaysia,Malaysia,Japan,Japan,Malaysia,Malaysia
EPI_ISL_447767,Sweden,Malaysia,Australia,China,Colombia,China,Taiwan,Sweden,Netherlands,Japan,China,China,Japan
EPI_ISL_413559,China,Malaysia,USA,USA,USA,UnitedKingdom,USA,USA,China,USA,USA,USA,USA
EPI_ISL_430440,Malaysia,Malaysia,Thailand,Malaysia,Japan,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia
EPI_ISL_424577,Iceland,Iceland,Iceland,China,UnitedKingdom,China,Japan,Iceland,China,China,Taiwan,China,Iceland
EPI_ISL_422053,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,NewZealand,Malaysia,UnitedKingdom,NewZealand,UnitedKingdom,UnitedKingdom
EPI_ISL_456393,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,NewZealand,Malaysia,UnitedKingdom
EPI_ISL_416570,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan
EPI_ISL_421235,Japan,Japan,China,Japan,China,China,China,Japan,Japan,China,Japan,Japan,Japan
EPI_ISL_416587,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416598,Japan,Japan,Taiwan,Singapore,Singapore,Japan,Japan,Japan,Japan,Singapore,UnitedKingdom,Japan,Japan
EPI_ISL_413459,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_412969,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_419832,Japan,Japan,Japan,Australia,Australia,Japan,Japan,Japan,Australia,Australia,Japan,Australia,Australia
EPI_ISL_416578,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416566,Japan,Japan,Japan,Japan,UnitedKingdom,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan
EPI_ISL_418994,Japan,Japan,Norway,Australia,China,Japan,Japan,Singapore,SouthKorea,Japan,HongKong,Japan,Japan
EPI_ISL_416614,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416596,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_429814,Germany,China,Canada,Germany,Germany,China,Germany,Germany,Taiwan,Germany,Germany,Germany,Germany
EPI_ISL_407987,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_422429,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore
EPI_ISL_402132,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412899,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_450489,China,China,China,China,China,Malaysia,China,China,China,China,China,China,China
EPI_ISL_408431,Thailand,Finland,HongKong,China,China,Thailand,Singapore,China,Malaysia,Japan,Thailand,China,China
EPI_ISL_407079,Thailand,Finland,USA,China,Finland,Thailand,SouthKorea,Taiwan,Taiwan,Singapore,China,China,China
EPI_ISL_430443,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,China,Malaysia,Malaysia
EPI_ISL_417030,China,China,China,China,China,China,China,China,China,China,Japan,Thailand,Thailand
EPI_ISL_416350,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_407073,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_407071,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_416427,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_408668,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_416330,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_413856,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412979,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_416333,China,China,China,China,China,China,China,China,Taiwan,China,Singapore,China,China
EPI_ISL_410535,Australia,China,China,Australia,India,Australia,Australia,China,Singapore,Australia,Singapore,China,China
EPI_ISL_437616,China,China,China,Thailand,Thailand,China,China,China,Malaysia,China,Japan,Thailand,Thailand
EPI_ISL_418998,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,UnitedKingdom,Singapore,Taiwan,Singapore,Singapore,China,China
EPI_ISL_419000,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China,China
EPI_ISL_445267,Spain,Chile,Chile,Spain,Chile,Chile,Spain,Spain,China,Chile,Chile,China,Chile
EPI_ISL_447757,Spain,Spain,China,Spain,Spain,Chile,China,Spain,Colombia,China,Chile,China,China
EPI_ISL_447520,Spain,Spain,Spain,Spain,Singapore,Spain,Spain,Spain,Spain,China,Spain,China,China
EPI_ISL_447918,China,China,China,China,China,China,China,China,China,China,Japan,China,Thailand
EPI_ISL_451360,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_455314,China,China,Spain,China,China,China,Spain,USA,Spain,China,China,HongKong,Spain
EPI_ISL_455461,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412028,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434571,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,USA,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_410045,China,China,China,China,China,USA,USA,USA,China,China,USA,USA,USA
EPI_ISL_463740,Taiwan,Taiwan,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,USA,UnitedArabEmirates
EPI_ISL_464093,Taiwan,Taiwan,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,USA,UnitedArabEmirates
EPI_ISL_421241,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_425118,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426163,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_412869,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_416885,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia
EPI_ISL_455790,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia
EPI_ISL_447912,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447913,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437620,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447911,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437615,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437613,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437614,Thailand,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437608,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand
EPI_ISL_437612,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437609,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455624,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447020,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455585,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447920,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455938,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_429165,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_429166,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455606,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455604,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447026,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455584,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_412871,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_407193,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426181,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_430738,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426180,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426171,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_424357,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413519,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,China,China
EPI_ISL_412870,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413514,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413513,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413516,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,Singapore,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_427812,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413523,HongKong,China,HongKong,HongKong,China,HongKong,China,China,China,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434567,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,Singapore,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434568,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,USA,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_451365,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_435137,China,China,China,China,Thailand,China,China,HongKong,China,China,China,China,China
EPI_ISL_450412,China,HongKong,China,China,China,HongKong,China,HongKong,China,China,HongKong,HongKong,HongKong
EPI_ISL_419733,China,Australia,China,China,Australia,China,China,China,Singapore,Singapore,China,Singapore,Singapore
EPI_ISL_437760,SaudiArabia,Singapore,SaudiArabia,SaudiArabia,Australia,SaudiArabia,China,China,SaudiArabia,SaudiArabia,China,SaudiArabia,SaudiArabia
EPI_ISL_462433,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_419834,Spain,Singapore,Australia,Spain,Australia,Uruguay,Australia,Australia,Singapore,China,Spain,China,Mexico
EPI_ISL_418996,China,Singapore,Singapore,Singapore,China,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore,Singapore
