edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
UnitedArabEmirates->Netherlands,0, 0, 100, 0, 0, 0
Bangladesh->Chile,0, 0, 100, 0, 0, 0
Jordan->Hungary,0, 0, 100, 0, 0, 0
India->Nigeria,0, 0, 100, 0, 0, 0
Iceland->Brazil,0, 0, 100, 0, 0, 0
Iceland->Italy,0, 0, 100, 0, 0, 0
Iceland->Mexico,0, 0, 100, 0, 0, 0
Iceland->Georgia,0, 0, 100, 0, 0, 0
Japan->Iceland,0, 0, 100, 0, 0, 0
Singapore->Luxembourg,0, 0, 100, 0, 0, 0
Japan->Argentina,0, 0, 100, 0, 0, 0
Colombia->Vietnam,0, 0, 100, 0, 0, 0
Vietnam->UnitedArabEmirates,0, 0, 100, 0, 0, 0
Norway->Israel,0, 0, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Hungary,0, 0, 100, 0, 0, 0
Mexico->Taiwan,0, 0, 100, 0, 0, 0
Finland->NewZealand,0, 0, 100, 0, 0, 0
Colombia->UnitedKingdom,0, 0, 100, 0, 0, 0
Morocco->Portugal,0, 0, 0, 100, 0, 0
Malaysia->Bangladesh,0, 0, 0, 100, 0, 0
Australia->Mexico,0, 0, 0, 100, 0, 0
Uganda->Senegal,0, 0, 0, 100, 0, 0
Uganda->Bangladesh,0, 0, 0, 100, 0, 0
Uganda->SaudiArabia,0, 0, 0, 100, 0, 0
Denmark->Oman,0, 0, 0, 100, 0, 0
Colombia->Hungary,0, 0, 0, 100, 0, 0
Colombia->Malaysia,0, 0, 0, 100, 0, 0
France->Kazakhstan,0, 0, 0, 100, 0, 0
Chile->Spain,0, 0, 0, 100, 0, 0
Oman->Georgia,0, 0, 0, 100, 0, 0
Finland->Georgia,0, 0, 0, 100, 0, 0
Brazil->Thailand,0, 0, 0, 100, 0, 0
Luxembourg->Thailand,0, 0, 0, 100, 0, 0
Iceland->Denmark,0, 0, 0, 100, 0, 0
Turkey->BosniaandHerzegovina,0, 0, 0, 100, 0, 0
NewZealand->Senegal,0, 0, 0, 100, 0, 0
NewZealand->Colombia,0, 0, 0, 100, 0, 0
Uganda->Germany,0, 0, 0, 100, 0, 0
Israel->Kazakhstan,0, 0, 0, 100, 0, 0
Thailand->Morocco,0, 0, 0, 100, 0, 0
Thailand->Bangladesh,0, 0, 0, 100, 0, 0
CzechRepublic->DemocraticRepublicoftheCongo,0, 0, 0, 100, 0, 0
Luxembourg->Argentina,0, 0, 0, 100, 0, 0
Israel->UnitedKingdom,0, 0, 0, 100, 0, 0
CzechRepublic->Jordan,0, 0, 0, 100, 0, 0
CzechRepublic->Belgium,0, 0, 0, 100, 0, 0
CzechRepublic->Poland,0, 0, 0, 100, 0, 0
Greece->Oman,0, 0, 0, 100, 0, 0
NewZealand->Japan,0, 0, 0, 100, 0, 0
NewZealand->Taiwan,0, 0, 0, 100, 0, 0
Luxembourg->Chile,0, 0, 0, 100, 0, 0
Thailand->Brazil,0, 0, 0, 100, 0, 0
Italy->Kazakhstan,0, 0, 0, 100, 0, 0
Argentina->Canada,0, 0, 0, 100, 0, 0
Colombia->Belgium,0, 0, 0, 100, 0, 0
Colombia->Morocco,0, 0, 0, 100, 0, 0
Colombia->Poland,0, 0, 0, 100, 0, 0
Colombia->Italy,0, 0, 0, 100, 0, 0
Oman->DemocraticRepublicoftheCongo,0, 0, 0, 100, 0, 0
Latvia->Australia,0, 0, 0, 100, 0, 0
Bangladesh->Denmark,0, 0, 0, 100, 0, 0
Taiwan->Romania,0, 0, 0, 100, 0, 0
Mexico->Brazil,0, 0, 0, 100, 0, 0
Mexico->Bangladesh,0, 0, 0, 100, 0, 0
Austria->Bangladesh,0, 0, 0, 100, 0, 0
Morocco->Jordan,0, 0, 0, 100, 0, 0
SaudiArabia->Belgium,0, 0, 0, 100, 0, 0
SaudiArabia->Israel,0, 0, 0, 100, 0, 0
Colombia->Kazakhstan,0, 0, 0, 100, 0, 0
Colombia->China,0, 0, 0, 100, 0, 0
Georgia->USA,0, 0, 0, 100, 0, 0
Canada->Kazakhstan,0, 0, 0, 100, 0, 0
Romania->UnitedKingdom,0, 0, 0, 100, 0, 0
NewZealand->Uganda,0, 0, 0, 100, 0, 0
NewZealand->Bangladesh,0, 0, 0, 100, 0, 0
Morocco->Mexico,0, 0, 0, 100, 0, 0
Greece->Canada,0, 0, 0, 100, 0, 0
Japan->Denmark,0, 0, 0, 100, 0, 0
Finland->Nigeria,0, 0, 0, 100, 0, 0
Finland->Singapore,0, 0, 0, 100, 0, 0
Israel->Mexico,0, 0, 0, 100, 0, 0
Jordan->Canada,0, 0, 0, 100, 0, 0
Portugal->Canada,0, 0, 0, 100, 0, 0
Chile->Uruguay,0, 0, 0, 100, 0, 0
CzechRepublic->SouthAfrica,0, 0, 0, 100, 0, 0
CzechRepublic->Uruguay,0, 0, 0, 100, 0, 0
Brazil->SaudiArabia,0, 0, 0, 100, 0, 0
Taiwan->Luxembourg,0, 0, 0, 100, 0, 0
Iceland->CzechRepublic,0, 0, 0, 100, 0, 0
Bangladesh->Kazakhstan,0, 0, 0, 100, 0, 0
Colombia->Brazil,0, 0, 0, 100, 0, 0
Colombia->Turkey,0, 0, 0, 100, 0, 0
Sweden->Uruguay,0, 0, 0, 100, 0, 0
Russia->Uruguay,0, 0, 0, 100, 0, 0
Denmark->India,0, 0, 0, 100, 0, 0
Chile->Singapore,0, 0, 0, 100, 0, 0
Iceland->Uruguay,0, 0, 0, 100, 0, 0
Iceland->Oman,0, 0, 0, 100, 0, 0
SaudiArabia->Uruguay,0, 0, 0, 100, 0, 0
Denmark->UnitedKingdom,0, 0, 0, 100, 0, 0
Iceland->Hungary,0, 0, 0, 100, 0, 0
China->Romania,0, 0, 0, 100, 0, 0
Spain->Israel,0, 0, 0, 100, 0, 0
Latvia->Argentina,0, 0, 0, 100, 0, 0
Denmark->Latvia,0, 0, 0, 100, 0, 0
Israel->Sweden,0, 0, 0, 100, 0, 0
USA->SouthAfrica,0, 0, 0, 100, 0, 0
India->Hungary,0, 0, 0, 100, 0, 0
Vietnam->Canada,0, 0, 0, 100, 0, 0
Turkey->UnitedKingdom,0, 0, 0, 100, 0, 0
Luxembourg->Uganda,0, 0, 0, 98, 0, 0
Luxembourg->Jordan,0, 0, 0, 98, 0, 0
Argentina->China,0, 96, 0, 0, 0, 0
Argentina->SaudiArabia,0, 0, 96, 0, 0, 0
Argentina->Norway,0, 0, 0, 96, 0, 0
Morocco->Iceland,0, 89, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Romania,0, 0, 89, 0, 0, 0
Turkey->Morocco,0, 0, 89, 0, 0, 0
Turkey->USA,0, 0, 89, 0, 0, 0
Turkey->DemocraticRepublicoftheCongo,0, 0, 89, 0, 0, 0
Russia->Finland,0, 0, 0, 89, 0, 0
Turkey->Luxembourg,0, 0, 0, 89, 0, 0
Turkey->Portugal,0, 0, 0, 89, 0, 0
Netherlands->Bangladesh,0, 0, 0, 88, 0, 0
Canada->Switzerland,0, 86, 0, 0, 0, 0
Colombia->Sweden,0, 86, 0, 0, 0, 0
HongKong->Mexico,75, 0, 0, 0, 0, 0
Hungary->SaudiArabia,0, 73, 0, 0, 0, 0
Hungary->Bangladesh,0, 0, 73, 0, 0, 0
Hungary->SouthAfrica,0, 0, 73, 0, 0, 0
Belgium->Singapore,69, 0, 0, 0, 0, 0
Belgium->China,69, 0, 0, 0, 0, 0
Belgium->Senegal,69, 0, 0, 0, 0, 0
Colombia->Switzerland,0, 69, 0, 0, 0, 0
Colombia->DemocraticRepublicoftheCongo,0, 69, 0, 0, 0, 0
UnitedKingdom->Kazakhstan,0, 0, 0, 56, 0, 0
Morocco->Greece,0, 0, 40, 9, 0, 0
Latvia->CzechRepublic,0, 44, 0, 0, 0, 0
Latvia->Japan,0, 44, 0, 0, 0, 0
Latvia->Iceland,0, 0, 44, 0, 0, 0
Latvia->Austria,0, 0, 44, 0, 0, 0
Latvia->Kazakhstan,0, 0, 0, 44, 0, 0
DemocraticRepublicoftheCongo->Russia,0, 11, 23, 0, 0, 0
India->Israel,0, 27, 0, 0, 0, 0
Chile->Jordan,0, 0, 0, 27, 0, 0
Argentina->Taiwan,0, 0, 26, 0, 0, 0
Argentina->CzechRepublic,0, 0, 26, 0, 0, 0
Argentina->Japan,0, 0, 26, 0, 0, 0
DemocraticRepublicoftheCongo->Turkey,0, 11, 0, 11, 0, 0
UnitedArabEmirates->SouthKorea,15, 0, 0, 0, 0, 0
UnitedArabEmirates->Vietnam,0, 15, 0, 0, 0, 0
China->Israel,11, 0, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Norway,0, 0, 11, 0, 0, 0
DemocraticRepublicoftheCongo->Latvia,0, 0, 11, 0, 0, 0
Morocco->Sweden,0, 0, 9, 0, 0, 0
Morocco->CzechRepublic,0, 0, 9, 0, 0, 0
Morocco->Latvia,0, 0, 0, 9, 0, 0
SouthAfrica->Argentina,0, 0, 4, 4, 0, 0
Taiwan->SaudiArabia,0, 0, 0, 8, 0, 0
CzechRepublic->Australia,0, 3, 3, 0, 0, 0
Australia->SouthAfrica,0, 4, 0, 0, 0, 0
SouthAfrica->UnitedKingdom,0, 4, 0, 0, 0, 0
SouthAfrica->China,0, 4, 0, 0, 0, 0
SouthAfrica->Austria,0, 4, 0, 0, 0, 0
SouthAfrica->Portugal,0, 4, 0, 0, 0, 0
SouthAfrica->Vietnam,0, 4, 0, 0, 0, 0
Canada->Brazil,0, 0, 4, 0, 0, 0
Canada->Iceland,0, 0, 4, 0, 0, 0
Canada->Georgia,0, 0, 4, 0, 0, 0
SouthAfrica->Russia,0, 0, 4, 0, 0, 0
SouthAfrica->Oman,0, 0, 4, 0, 0, 0
SouthAfrica->Italy,0, 0, 4, 0, 0, 0
SouthAfrica->Chile,0, 0, 4, 0, 0, 0
SouthAfrica->Georgia,0, 0, 4, 0, 0, 0
SouthAfrica->SaudiArabia,0, 0, 4, 0, 0, 0
Norway->Portugal,0, 0, 0, 4, 0, 0
SouthAfrica->Norway,0, 0, 0, 4, 0, 0
SouthAfrica->NewZealand,0, 0, 0, 4, 0, 0
SouthAfrica->Belgium,0, 0, 0, 4, 0, 0
SouthAfrica->Hungary,0, 0, 0, 4, 0, 0
China->Argentina,0, 3, 0, 0, 0, 0
CzechRepublic->Singapore,0, 0, 3, 0, 0, 0
CzechRepublic->Chile,0, 0, 3, 0, 0, 0
CzechRepublic->Iceland,0, 0, 0, 3, 0, 0
UnitedKingdom->Denmark,0, 0, 2, 0, 0, 0
HongKong->Chile,0, 0, 1, 0, 0, 0
